Restaurant ID,Name,Aggregate Rating,Rating Subtitle,Votes,Dining Review Count,Delivery Rating,Delivery Review Count,Cost for Two,Cost for One,Locality,Address,Cuisine,City,latitude,longitude
302493,Om Bikaner,3.8,Good,15.8K,68,4.2,15.7K,₹400 for two,₹100 for one,"Vasant Kunj, New Delhi","18, Nathu Singh Market, Opposite Vasant Square Mall, Vasant Kunj, New Delhi","Mithai, Street Food",Delhi NCR,28.53151,77.15021
7654,Kolkata Kathi Roll,3.7,Good,33.1K,27,4.2,33.1K,₹300 for two,₹100 for one,"Malviya Nagar, New Delhi","80/66A, Ground Floor, Malviya Nagar, Near Gurudwara, Malviya Nagar, New Delhi",Rolls,Delhi NCR,28.53387,77.20691
19590753,Yaara Da Dhaba,3.9,Good,"2,028",58,3.9,"1,970","₹1,200 for two",₹100 for one,"Vasant Kunj, New Delhi","1B/1 Bhavani Kunj, D-2, Opposite The Heritage School, Vasant Kunj, New Delhi","North Indian, Chinese, Mughlai, Rolls, Beverages",Delhi NCR,28.53151,77.15021
310887,Krispy Kreme,4.1,Very Good,"2,945",204,4.2,"2,741",₹300 for two,₹100 for one,"DLF Promenade Mall, Vasant Kunj, New Delhi","Ground Floor, DLF Promenade Mall, Vasant Kunj, New Delhi","Desserts, Beverages",Delhi NCR,28.53711,77.1446
19684372,Mughal Affair,4.2,Very Good,"3,807",0,4.2,"3,807",₹700 for two,₹100 for one,"Vasant Kunj, New Delhi","Shop 2, C-7, 2nd Floor, Masoodpur, Vasant Kunj, New Delhi","Mughlai, Biryani, North Indian, Rolls, Kebab",Delhi NCR,28.53151,77.15021
3072,Hawkers,4.2,Very Good,22.4K,0,4.2,22.4K,₹400 for two,₹100 for one,"Vasant Kunj, New Delhi","Pocket 1, Sector B, Delhi Jal Board Road, Near Gate 3, Vasant Kunj, New Delhi","Chinese, Rolls, Momos",Delhi NCR,28.53151,77.15021
18942245,Flavors Of Chennai,4.2,Very Good,"7,751",92,4.2,"7,659",₹400 for two,₹100 for one,"Vasant Kunj, New Delhi","31, Ground Floor, Vasant Arcade, B7 Market, Nelson Mandela Marg, Vasant Kunj, New Delhi","South Indian, Beverages, Desserts",Delhi NCR,28.53151,77.15021
20292684,Nayi Dilli Ke Paranthe,3.8,Good,"1,018",0,3.8,"1,018",₹550 for two,₹100 for one,"Vasant Kunj, New Delhi","Plot 1, Masoodpur Diary Farm, Vasant Kunj, New Delhi","North Indian, Beverages, Desserts",Delhi NCR,28.53151,77.15021
19449436,POMP - Pizza On My Plate,4.1,Very Good,"7,240",0,4.1,"7,240",₹700 for two,₹100 for one,"Vasant Kunj, New Delhi","Plot 1, Masoodpur Market, Vasant Kunj, New Delhi","Pizza, Fast Food",Delhi NCR,28.53151,77.15021
810,Guruprasad Udupi Restaurant,4.4,Very Good,"2,413",889,4.4,"1,524",₹600 for two,₹100 for one,"Munirka, New Delhi","DDA Shopping Complex, Phase 2, Munirka, New Delhi","South Indian, North Indian, Chinese, Desserts, Beverages",Delhi NCR,28.55652,77.16379
18643555,Atithi Satkar,4.2,Very Good,"2,809",0,4.2,"2,809",₹500 for two,₹100 for one,"Vasant Kunj, New Delhi","Shop 2, C 5, Main Market, Masoodpur, Near Gupta Hardware, Vasant Kunj, New Delhi","North Indian, Mughlai, Chinese, Beverages",Delhi NCR,28.53151,77.15021
20762564,Shawarma House,4.0,Very Good,106,0,4.0,106,₹850 for two,₹100 for one,"Vasant Kunj, New Delhi","Unit K 1, Plot C7, First Floor, Vasant Kunj, New Delhi","Shawarma, Mediterranean, Rolls, Wraps, Middle Eastern, Lebanese, Arabian, Turkish",Delhi NCR,28.53151,77.15021
19185505,Dzukou Tribal Kitchen,4.3,Very Good,758,68,4.4,690,"₹1,400 for two",₹400 for one,"Vasant Kunj, New Delhi","Shop 1, 2nd Floor, Vasant Arcade, Nelson Mandela Road, Vasant Kunj, New Delhi",Naga,Delhi NCR,28.53151,77.15021
19299652,Veer Ji Malai Chaap Wale,3.5,Good,"6,408",85,3.8,"6,323",₹400 for two,₹400 for one,"Malviya Nagar, New Delhi","E 6/11, 12, Malviya Nagar, New Delhi","North Indian, Rolls, Chinese, Momos, Mughlai",Delhi NCR,28.53387,77.20691
